id,baslik,sarki_sozu,sarki_turu
1172,Killa Hakan - Fight Kulüp,"three two one zero
başladı countdown sona kalan hero
köpürürsün blub blub blub
burası merkez fight kulüp
three two one zero
başladı countdown sona kalan hero
köpürürsün blub blub blub
burası merkez fight kulüp
three two one zero
başladı countdown sona kalan hero
köpürürsün blub blub blub
burası merkez fight kulüp
three two one zero
başladı countdown sona kalan hero
köpürürsün blub blub blub
burası merkez fight kulüp
kalp kan damar damar
surata şamar yanar yakar
kaşları çatık bakar bakar
farkında olmadan takar akar
yaşadığın yer karanlık mağara
kurtaramaz seni atsan nara
buz fresh akar nehir
duman olmuş şehir
tercihim glock silah pumpgun
arabanı tararım akıllara zararım
kırmızı mavi killa kara
renkler kalas savaş para
hastadır ruhlar tehlikeli yapı
tehlikeli kapı rahatsız hasta
aranıyorum yerde kırmızı bültenle
peşimdeler fahndung grazta
bilmediğin işlere karışma bak yakarım
i̇lk bi ortama bakarım
silah papapa patlar yakarım
çift silahla tatata tararım
benim ortamım serttir merttir
piç puştların başına derttir
saldırılarım atak ataklar
sokakta puslar batak batak var
durmak bizde cenkten cenke
blood in blood out gangden gange
benim yaşadığım yerde üşürsün titrersin
girersin şoktan renkten renge
parayı bulan değişiyomuş kanka
sizde olabilir bizdeki banka
killa destek verirse kafa tutar tanka
killa destek verirse kafa tutar tanka
three two one zero
başladı countdown sona kalan hero
köpürürsün blub blub blub
burası merkez fight kulüp
three two one zero
başladı countdown sona kalan hero
köpürürsün blub blub blub
burası merkez fight kulüp
dönmek yatıya kalın
geçmişe takılı kalıyo kafası kalın
anonim esere atıyosun imzanı
pişirip yiyiveriyosun haramı
başarısızlığını başkasına yükleyip
yol yürüyenin karnı tok
mağduru oynayana kanıyo kerizlerin alayı
bak harbi jackpot
oyna rap tekno
push the tempo puşta kempo
geldi mentor elini çek sesini kes
konuşuyoruz çalıyo bando
aşıramento ediyosunuz şeyi
bunu görüyoruz sıfatı game boy
lafını ağzına tıkadı rude boy
eledim alayını gerisi ten
gidişi bi durdursak
git arabanı vurdur
rapini bol koy çağırıyo rock roll
wannabe cowboy konuşuyo babana sor
bakalak ol katana vurdu kafana kakalak ol
manifestom adını koy
adımı at atına git
şans binde senin
birini bul madik at
kafanızdaki film amerika
keçi inadıma denk bi patika
korkma olurum bodyguard
karalama başlat
sıra bana gelmiş
yarınını dününü gününü bugününü
günü dünü unutana bye bye
three two one zero
başladı countdown sona kalan hero
köpürürsün blub blub blub
burası merkez fight kulüp
three two one zero
başladı countdown sona kalan hero
köpürürsün blub blub blub
burası merkez fight kulüp
başkent
kreuzberg
aynı gün selfie
polislere poz ver
dişlerim kırık kalbimde yaralar
dert ara ver desem paralar
sertleştirir seni çile
çalış dersini dönebilir şey
düz yol merdiven derdim dünya
kimin bilemem bunu
sağım dolu solum dolu
olun tuzla buz olunca nusret
sokağımda durcaksan kurallara uy
kardeşlere selam abilere respect
fleek yapamam
dj çalar bizi olduk istek
i̇stanbul sokakları işlek
ceplerimin içi hayaller tiftik
solum sağım önüm arkam deli
parça pinçik bölük karakterim
akrepleri kovar yelkovanlar
geçer zaman saatte
mücadele mücadele
soluklan al gerektiğinde
yanar içim salaklığımda
batar ruhum sokak bataklığında
liranın peşindeysen git
dedim eğlendik
neyzen tevfik
çektim kafaları olsan yer tip
yandı gönlüm geldim gördüm yendim
gömdüm aynı tyler durden
nolcak olsan zengin
anda kaydı gitti şeklin
three two one zero
başladı countdown sona kalan hero
köpürürsün blub blub blub
burası merkez fight kulüp
three two one zero
başladı countdown sona kalan hero
köpürürsün gluk gluk gluk
burası merkez fight kulüp
berlin abiler mert
i̇stanbul ankara i̇zmirden geldik
fert bittin
kurşun merkezden
kreuzberg farklıdır herkesten yes
destek var bize sesten ses
killa hakan ceza fero ezhel
los gehts türkei ses ver ver
sona kalan hero bendim zero
hedefler private heelo
bitti defter level up we go
kottide yürü bak
kotti vous yeah yokitoki hood yeah
burda gerçek ghetto beton
good yeah vuh
etsene bol ye ye
mercedes kolye ye
herkese davran biladerim şutta gol ye brrreh
kurda kuşa ol yem wooh
birisine ol yem yem
burda kurdu kuzusu var
panter ol gang thirty six
eski okul gangstalardan enerjim wooh
an ilham veren insan
abilerin abisidir baba killa hakan wooh
seco ceza abi ver feyz feyz
three two one zero
başladı countdown sona kalan hero
köpürürsün blub blub blub
burası merkez fight clup
three two one zero
başladı countdown sona kalan hero
köpürürsün blub blub blub
burası merkez fight clup
three two one zero
başladı countdown sona kalan hero
köpürürsün blub blub blub
burası merkez fight clup
three two one zero
başladı countdown sana kalan hero
köpürürsün blub blub blub
burası merkez fight clup
",rap
1173,Ezhel - Alo,"verse 1
günlerden gün kaldım harman
kafayı kaldıramam lazım sarmam
çağırsam kankaları lazım yardımlaşmam
koal koal koal koal koal koal
ararım telefondan çaldı meşgul
kankalarım kovalıyor meşru
kankalar kova alıyor mesut
kankalar sanıyor ezhel meşhur
koal koal koal koal koal koal
zannedersin çözmek
ararsın açmazlar yoklar
teli açtılar dedim ortak

çözmesek dedim kardo elim mahkum
la la dedi param dedi paso
suratıma kapadılar telefonu
dedim
chorus



verse 2
çalar 90bpm zibidi parro
yürüyorum mahalleye yer varoş
mahallenin girişinde babo
alayında façalar alayı maço
islık çaldı bebeler dediler gel la
kaçlık istiyon dedi dedim 50lik ver la
an sirenler çaldı anons
dedim hassiktirin gidin la polis
koştum koştum maratonu
cepler para dolu koştu tutarak donu
yerini aradım pantolonun
düşürmüşüm fişekleri durum
amın işin ara çorbacıyı
verse çözülür olayımız
aldım diğer gardaşımın onayını
dedim abiye güzellik sorayım
teli açtı
müsaitsen görüşek dedim cano
gelcem dedi dakka
yıl gelmedi aradım paso
chorus



",rap
1174,Yener Çevik - Donar,"donar mimiklerim donar
konar omzuma roman
şehrin merkezi sürgün yeri olan
sonbahardan baharlara selam
donar mimiklerim donar
konar omzuma roman
şehrin merkezi sürgün yeri olan
sonbahardan baharlara selam
görüşmüyoz konuşmuyoz
senle tanışmıyoz
i̇çimize atmaya barış diyoz
terk edip gidene alış diyoz
bekleyip görcen nasip diyoz
sevgiye harman kaldık istiyoz
dilek diliyoz medeni
egolar ayrılmanın nedeni
kutup ayısıyla çölde bedevi
yaz varsa yap grevi
sabahın dördü bi
dolunay yakamoz içtiğim
yalnızlık işçiyim
gelme üstüme gelme
avuç içlerime ısırdım
gelme üstüme gelme
sana şiir yazdım şair bastonlu kırık dişli
satırlar çocukluğumdan beridir kondulu fişli
dahil bilmiyom aga zaman başladı zaman bitti
neyi sevdiysem kadarı gitti gitti
donar mimiklerim donar
konar omzuma roman
şehrin merkezi sürgün yeri olan
sonbahardan baharlara selam
donar mimiklerim donar
konar omzuma roman
şehrin merkezi sürgün yeri olan
sonbahardan baharlara selam
sessizliğin kralı elleri ceplerinde ceplerinde
eğmiş başı yere damla yaş aktı defterinden defterinden
ağıtları yakanlar var dünyanın martı seslerinde
müslümden bilebilsen azerden illede illede
derin yara derin faça
i̇lle braa
göz bi oda öksürükle dolu
i̇yi misin
yaşanır olur geçer desem desem
nasipse olacak olan gerisini düşünme
gözüm döner ellerimin üstü ondan nasır
yaprak döker yanım mevsim kasım
yaralı duygular valesiyiz gitmeye
şişenin dibi paket tütün gider saçlarını kazır
donar mimiklerim donar
konar omzuma roman
şehrin merkezi sürgün yeri olan
sonbahardan baharlara selam
donar mimiklerim donar
konar omzuma roman
şehrin merkezi sürgün yeri olan
sonbahardan baharlara selam
",rap
1175,Kamufle - Bir Şeyler Var,"bi şeyler var
bi oda tutsak
çelimsiz
kafası karışık
bilirmisin cevap ver
soruları
beyin yokuş
debelenir sürüklenir içine içine
ağlar der bana bi şans ver
başarılı olmak öle olmaz
sorunlar yakışmaz boğulmak
olmak yada olmamak boşver ortak
önemli şeydir korkmak
kuruntu yapmam
huzursuz olmam
müsaade etmem ihtirasa
meselem dert güler yüzlü kalmaksa
biat edin savaşçı mikrofon başında
bi şeyler var bi şeyler var
bi şeyler kafamın
bi şeyler var
bi şeyler var
kafamın bişeyler
bi şeyler var bi şeyler var
bi şeyler var
bi şeyler var
kafamın bişeyler
daraldım tebessümler geçici
düşünmek çetrefilli kararlar anlamsız
başımdan atmak istediğim husumetler inci
dizilirken kursağımda nikotinden balçık
postmodern ol entel
istenmeyen koşullarda akar sırtdan terler
i̇çinde saklı tuttuğun çığlıkları kustuğunda
sana bire mazoşist derler
yerde bişeyler ödül derler
bilmediğin sulardasın komiklikler
hayat varoluşu sorgularken bire
bilim fırlar tespit eder karanlık delikler
yorgunum yorgun olumsuz koşullar olgunluğumu bozdu
olmak yada olmamaktan korkum
orta karar yaşam standartı ibadet
i̇nsan omurgasız çoğunluk hazımsız solgun
bi şeyler var bi şeyler var
bi şeyler kafamın
bi şeyler var
bi şeyler var
kafamın bişeyler
bi şeyler var bi şeyler var
bi şeyler var
bi şeyler var
kafamın bişeyler
",rap
1176,Ayben - Dur Kaç,"burda beni anlamazlar
orda bana dokunmazlar dur
burda beni üzenler var
orda buna dayanmazlar dur
dönen yalanlar var
doğruları saklamazlar dur
karşımda duranlar var
orda koymazlar dur
sırtıma ok saplarlar
yaramı saranlar var dur
kez ağlatırlar
göz yaşımı silenler var dur
burda gönlümü kırdılar
derdime derman olan var dur
aşkıma engel olan var
gönlüme hakim olan var dur
kalbimi darlarlar
kalbime sahip olan var dur
bana layik olmayan var
aşkımı hak edenler var dur
arıza çıkaranlar var
tamir edebilenler var dur
tamir edilemeyenler var
acılara dayanabilen var dur
hayat aynı ok vakit
geçip gider sonu geliyohey uu
uu
yoluma taş koyanlar var
yaş tahtaları kıran var dur
yaş tahtalara basan var
kaş çatmalara gülen var dur
kaç” konuşanlar var
dur” bağıranlar var dur
yenilenler var
çağıranlar var dur
sarpa saran hayaller ver
gerçek olan umutlar var dur
saçma sapan hayatlar var
bayatlarlar dur
yardıma çağıranlar var
yardımı hak edenler var dur
yere gerilenler var
yardımıma gelenler var dur
unutulan kelimeler var
söyleyecek cümlem var dur
konuşsam ağlarlar
susmayı başaranlar var dur
düşmem itenler var
elimden tutanlar var dur
korkudan kaçanlar var
korkuya alışanlar var dur
hayat aynı ok vakit
geçip gider sonu geliyohey uu
uu
",rap
1177,Murda - Konum Gizli,"nakarat murda mero
konum shawty gel kimseye görünmeden görünmeden
sonumu düşünemem göze almışım ölümü ölümü
goyardda binim nakit gel uçuşlar private private
yanımda gang loyalty etrafım aynı jaa
konum shawty gel kimseye görünmeden
sonumu düşünemem göze almışım ölümü
çantada binim nakit uçuşlar private private
yanımda gang loyalty etrafım aynı aynı aynı
verse 1 murda
yeah whip german im swervin
yolum istanbul berlin fast like sterling
bad bitch kolunda birkin
göt perfect yeah bbl made in turkey
sararım big kermit
yeah she shawty önümde başlar twerk it
elini paramda görmim
seni karşıyla görmim
dua et yolda ölmim
bagajda sene var görmim
sokaklar eğitti beni örneğim
bütün gang yiyor çıkıyo göbeğim
olamam köpeğin babygirl göreyim
seni bi önümde
seni istemekten öteyim
sende beni gördüm gözlerinde yeah
day and night yeah day and night
ara beni shawty olurum müsait yeah
bebeler ski maskleriyle slide yeah slide
police lights bize burda disco lights woowoo
nakarat murda mero
konum shawty gel kimseye görünmeden görünmeden
sonumu düşünemem göze almışım ölümü ölümü
goyardda binim nakit gel uçuşlar private private
yanımda gang loyalty etrafım aynı jaa
konum shawty gel kimseye görünmeden
sonumu düşünemem göze almışım ölümü
çantada binim nakit uçuşlar private private
yanımda gang loyalty etrafım aynı aynı aynı
verse 2 mero
meine baddie macht moves liebt ihre tattoos
zeigt ihre dessous victorias secret poh
booty ein pfirsich pfirsich wenn du mit mir bist
gucken uns an babygirl du verlierst dich
hör nicht auf dont stop lights out
mucke laut kopf aus ja drop it low low
jeden tag jede nacht wenn ich komm bist du
und es bleibt auch für immer so
i̇stanbul etiler
shawtyıma aldım bi hediye
cash euro bana deli der cash
al bunu ver
bakış gözleri yanımda
sensizlik bana inan
gel kaçalım buralardan
uzağa uzağa gel
sonsuza senle geriye bakmam
sonbaharda
nakarat murda mero
konum shawty gel kimseye görünmeden görünmeden
sonumu düşünemem göze almışım ölümü ölümü
goyardda binim nakit gel uçuşlar private private
yanımda gang loyalty etrafım aynı jaa
konum shawty gel kimseye görünmeden
sonumu düşünemem göze almışım ölümü
çantada binim nakit uçuşlar private private
yanımda gang loyalty etrafım aynı aynı aynı
",rap
1178,Patron - Jet Lag,"kafalar peşimizde paparazi
500 beygir maserati sıkıysa yakala
kafalar peşimizde paparazi
500 beygir maserati sıkıysa yakala
mememekânı kolaçan edin koparcam cashi
dersin zaman sikip geçti kocaman
size mavi tik tonla adilik
boss sizden güçlü abicim itiraf edin
mmmcye bela verir var yerde bi kardeşim
benim uğradığım şehirde pmc yazar
bencilliğin bahanesi nankörlüğün sahnesi
insanlığın emaneti ormanın şempanzesi
altımda jet var
kafam gün yüksek jet lag
zoom facetime seks var
kafiyeler kardeşlerim gangsta
mekânı kolaçan edin kardeşlerim gangsta
dersin zaman sikip geçti kocaman kardeşlerim gangsta
mekânı kolaçan edin kardeşlerim gangsta ganggang
dersin zaman sikip geçti kocaman kardeşlerim gangsta
kafalar peşimizde paparazi
500 beygir maserati sıkıysa yakala
kafalar peşimizde paparazi yeah
500 beygir maserati sıkıysa yakala
tutmaz sözleri boss teknik öfkeli
göt verirsin bok herif özveri size gelir
mesafeler gün hız cezası yerken
şehirler mezar hiçbi yer bana
sokakta standart yaptığımız bi skandal
polis ışıkları var aynamda söner yıldızlar aynı anda
dolunay var arkamda senin çoktan pişman fanlar
yol sonsuza pankart bak boss gaz
altımda jet var
kafam gün yüksek jet lag
zoom facetime seks var
kafiyeler kardeşlerim gangsta
mekânı kolaçan edin kardeşlerim gangsta
dersin zaman sikip geçti kocaman kardeşlerim gangsta
mekânı kolaçan edin kardeşlerim gangsta ganggang
dersin zaman sikip geçti kocaman kardeşlerim gangsta
",rap
1179,Şehinşah - Dönmedin Ki,"ateşin var
cehennemde
kalemim kağıdım
uç evrenlerde
canevim cansız
maneviyatı vicdansız
kaybetti kere hakkı
canına kıydı
kaybetti kere hakkı
canına kıydı
kaybetti kaybetti kazandı
sözlerinde haklı çıktı
sırtından sırtlanlar ısırdı
etrafı sarılı çıkışlar kapalı
sıvışmaz yalnızlık yaramış
nasırlı kalp acımaz
çek kopart parçamı
normal yapardım olsam
ortak noktamız yaşama sarılmak
olmak olmamaktan 10 kat kıyak
olsam trapez oyuncak bana sırat
onlarcası düştü yoluma yanımda
korkaklaşıp ürktü
sanıp güldü
aptalın düştüğü tuzak
olmak sendromu adı
olduramadım
olmaz
kimseyi koyamadım
ol
ol
ol
nolursun yanımda
manasızlaşırım yoksan
dönmedin
sevgilim dönmedin
deliler özledim
biraktin beni̇ göt gi̇bi̇
söyle
dönmedin
göm bende senleri
sök çek ektiğin şeyi
talihim döndü dönmedin
haller içindeyim
çıkartamadı sevgi
sigara yakıp dedim
yıkılmayacağım
bıkkınım sebebim
senin değer birine kalacağım dik
alacalı bulacalı deri kemik dik
dönmeyişinin şerefine kan ağladı beat
bacak bacak at al ahımı nefis
yakışanı yapışına kayıtsız kalış rapim
dönmedin
sigarayı got seni
dön gel eskisi öp beni
görkeminin etkisinde gözlerim
şey görmemiştim
benliğim ön sezimken
mahrumum sana söyle
ört geçmişi yak kibritle
hataları kökten temizle
dönmedin
sevgilim dönmedin
deliler özledim
biraktin beni̇ göt gi̇bi̇
söyle
dönmedin
göm bende senleri
sök çek ektiğin şeyi
talihim döndü dönmedin
haller içindeyim
",rap
1180,Ados - Göklerden,"alın sözüm meclisten
yeraltında sayarım 5 liste piç herif
rap rap dilde çelik
dinledim albümünü eksik len içerik
biçerim seni deme komik olma
topunu alıp eve git oyna koridorda
senin müzik 1 hobi kolpa
bizim homei tonla
beynimde kafiye dönüp dolaşır
belkide banada biryerden ödül ulaşır
temelin sana gelip ölü bulaşır
umarım kazanırım macı önüm açılır
grogi anıl nesil rapin talebi
dönemi bize çevir tanıtırız deli kalemi
işi bıraktırıp yapıcam seni balerin
i̇zmirim underground hiphop kaledir
nakarat
grogi anıl nesil rapin talebi dönemi bize çevir tanıtırız deli kalemi
işi bıraktırıp yapıcam seni balerin
burası underground hiphop kaledir
grogi
bütün kelimeler çarpıcak maskene bugun tuttuk hiphop ı sana
it was all dream bütün mesele söz yazarken götünü kesele
buna biçsene pahaa arkandan atıcaz kahkaha dur başladık
performans peak sold out seats to hear biggie smalls speak yoooo
buna bok at kendini kandır suratına tokat kan ayağımda nike air force one
big pun kafiye altında kal bağır uy bana duy ağırdan sat kendini bunları duy banane öl kahırdan
tat bunu acı bulur rap kafasıda kaçık olur
kendini kandırma bak sonu acı olur bunu
keyfini sür geliyoruz başa
nakarat
grogi anıl nesil rapin talebi
dönemi bize çevir tanıtırız deli kalemi
işi bıraktırıp yapıcam seni balerin
burası underground hiphop kaledir
göklerden düşmedi ışığın üstüme
bendeki gözlere bak
karanlığa yürümeyi sevdiren hâlime bak
i̇çimde yıkılmış harabeyi aydınlat
verse 2
gün istemsiz gördüm
namerdin gerçeği yüzümüze sövdü
giden gider benim öldü
basit olabilir gerçek döngü
olunurmuş onu gördüm
tokadını eksiltmedi yüzümüzden kördüğüm kader
öldüğüm yaşasaydım bana yeterdi

sormak keder
kara günlerden geçtim
deli yollardan aştım
yüce dağlardan uçtum
beni durdurmaya yetmedi keder
kendimden geçsem
yol seçsem
yüksekten düşsem
beni durdurmaya yetmez keder
nakarat
göklerden düşmedi ışığın üstüme
bendeki gözlere bak
karanlığa yürümeyi sevdiren hâlime bak
i̇çimde yıkılmış harabeyi aydınlat aydınlat
göklerden düşmedi ışığın üstüme
bendeki gözlere bak
karanlığa yürümeyi sevdiren hâlime bak
i̇çimde yıkılmış harabeyi aydınlat
",rap
1181,Anıl Piyancı - Balerin,"alın sözüm meclisten
yeraltında sayarım 5 liste piç herif
rap rap dilde çelik
dinledim albümünü eksik len içerik
biçerim seni deme komik olma
topunu alıp eve git oyna koridorda
senin müzik 1 hobi kolpa
bizim homei tonla
beynimde kafiye dönüp dolaşır
belkide banada biryerden ödül ulaşır
temelin sana gelip ölü bulaşır
umarım kazanırım macı önüm açılır
grogi anıl nesil rapin talebi
dönemi bize çevir tanıtırız deli kalemi
işi bıraktırıp yapıcam seni balerin
i̇zmirim underground hiphop kaledir
nakarat
grogi anıl nesil rapin talebi dönemi bize çevir tanıtırız deli kalemi
işi bıraktırıp yapıcam seni balerin
burası underground hiphop kaledir
grogi
bütün kelimeler çarpıcak maskene bugun tuttuk hiphop ı sana
it was all dream bütün mesele söz yazarken götünü kesele
buna biçsene pahaa arkandan atıcaz kahkaha dur başladık
performans peak sold out seats to hear biggie smalls speak yoooo
buna bok at kendini kandır suratına tokat kan ayağımda nike air force one
big pun kafiye altında kal bağır uy bana duy ağırdan sat kendini bunları duy banane öl kahırdan
tat bunu acı bulur rap kafasıda kaçık olur
kendini kandırma bak sonu acı olur bunu
keyfini sür geliyoruz başa
nakarat
grogi anıl nesil rapin talebi
dönemi bize çevir tanıtırız deli kalemi
işi bıraktırıp yapıcam seni balerin
burası underground hiphop kaledir
",rap
1182,Norm Ender - Günah Benim,"bi şey
kralların dünyasında yaşıyorsun
kral yaşayıp köpek ölmektense
köpek yaşayıp kral ölürsün
doğu yakası tarzı
kadıköy
sansar salvo
psikoz

param sigaram alkol
yapacak bi şey
fero demet akalın remix
bi şey
kralların dünyasında yaşıyorsun
kral yaşayıp köpek ölmektense
köpek yaşayıp kral ölürsün
doğu yakası tarzı
kadıköy
sansar salvo
psikoz

param sigaram alkol
yapacak bi şey
",rap
1183,Sansar Salvo - Yok,"varım
çetele tuttu mutluluk
basma kalıp duygularına basmaz oldum kalkayım
sigara müzik değilim
kavga dövüş barış
felsefe düşünmek yaşamak
yaşamaya çalışarak yaşamak küçük bi kaçamak
elindekinden olmak elinden tutulmamak
bikaç bikaç ömür yakmak
yüzyıllarca yaşamak istiyorsan bi zar at
hayatlarda kumar masasında zar
gecemde efkar kafamda esrar içimde ısrar
yüzümde hasar duran gönlüm azar
piskopat yazar yazar
açılalımda okyanusta açılalım farkı var
ders günüm bi ders sınıfta kaldım
saygı umut arkadaş
kader ışık bi şey
sevgi bi ses mutluluk
bi çift göz varoluş
saygı umut arkadaş
kader ışık bi şey
sevgi bi ses mutluluk
bi çift göz varoluş
yazmak ışık yaktım odam karanlık
zamansız gelişin amansızdı gidişin
i̇şimi bitiririm dişimi sıktım olmadı
arabesk hayatım rap yapardım
i̇nsanım dostlarım allahım yazdığım
duyduğum umduğum sevdiğim gördüğüm
bildiğim günlerim sildiğim verdiğim
doldu taştı yandı baştı
haşhaştı içime kenevir içimi kemirir
an yaram derine insin arandığım zamandan
yinede yoktan varolan benim varolan
dostlarım umduğum bi bok bildiğim
bi şey
harbi bi şey
harbiden bi şey
bi sikim amına koyayım
i̇nsanım dostlarım allahım yazdığım
duyduğum umduğum sevdiğim gördüğüm
bildiğim günlerim sildiğim verdiğim
doldu taştı yandı baştı
haşhaştı içime kenevir içimi kemirir
an yaram derine insin arandığım zamandan
yinede yoktan varolan benim varolan
dostlarım umduğum bi bok bildiğim
bi şey
harbi bi şey
harbiden bi şey
bi sikim amına koyayım
bi şey
kralların dünyasında yaşıyorsun
kral yaşayıp köpek ölmektense
köpek yaşayıp kral ölürsün
doğu yakası tarzı
kadıköy
sansar salvo
psikoz

param sigaram alkol
yapacak bi şey
",rap
1184,Ezhel - Pavyon,"işıl ışıl yer
herher yer pavyon
bubu seferki iyimiş gardaş
bi dahakine koy
işışıl ışıl yer
herher yer pavyon
gezgezdim balkon balkon
adım elvan dalton
işıl ışıl yer
herher yer pavyon
bubu seferki iyimiş gardaş
bi dahakine koy
işışıl ışıl yer
herher yer pavyon
gezgezdim balkon balkon
adım elvan dalton
la
geblo
yapracıktan kızılaya metro
alemlere akmayak eş dost
erasmuslu ortamlara lets go
çin çin
ghetto
altındağ mamak etimesgut
aynasızlar bütün meşgul
ankarada boldur gayrimeşru
çıkak gezek şehri bi görsek akşam
işıl ışıl yer pavyon moruk
nettin gökçek başkan
takılıyonuz geceniz olsun gardaş
varsa baa koy şarabından bardak
dert etme la gel derdini çözek
ayıp ediyon valla başını yesin
gel takılak diyom gardaş sana
gözünle gönlün açılır
şeklimiz sokaklarda
bütün bebeler ayıkır beni
yaptığın ayıp gardaş
pavyonda bütün maaşını yedin
işıl ışıl yer
herher yer pavyon
bubu seferki iyimiş gardaş
bi dahakine koy
işışıl ışıl yer
herher yer pavyon
gezgezdim balkon balkon
adım elvan dalton
işıl ışıl yer
herher yer pavyon
bubu seferki iyimiş gardaş
bi dahakine koy
işışıl ışıl yer
herher yer pavyon
gezgezdim balkon balkon
adım elvan dalton
la
mızık
polis geldi yapmalıyız
faça şahin kaputu çızık
çalınır havalar kısık
çalmalı
yaptırmadım arabaya kasko
taktırsak lpgyi gaz
ittirsen gider
harmana düştüm adresim belli
yenidoğan
hava kapalı
nası memleket la beni boğar
bozuk olabilir yollar
şahinimin hızı maksimum 45
jipe binen ablalar beni sollar
kafam kıyak fıyak
angara benim ortak
gelir bebeye zulalar beleş
derde düşünce ses neşet
aleme akınca şey gerez
moralimi bozamadı gebeş
bi yüzümüze gülse felek
hel bi takılak kop kop gezek
hatuna baksana
angaralıya paso alem
işıl ışıl yer
herher yer pavyon
bubu seferki iyimiş gardaş
bi dahakine koy
işışıl ışıl yer
herher yer pavyon
gezgezdim balkon balkon
adım elvan dalton
işıl ışıl yer
herher yer pavyon
bubu seferki iyimiş gardaş
bi dahakine koy
işışıl ışıl yer
herher yer pavyon
gezgezdim balkon balkon
adım elvan dalton
işıl ışıl yer yer pavyon
adım elvan dalton elvanelvan dalton
işıl ışıl yer yer pavyon
adım elvan dalton elvanelvan dalton
",rap
1185,Sagopa Kajmer - Melodrama,"mc mikrofon başında kazar mezar
doğrusunu bilmiyosan olamazsın tezat
kafasına dalı takan oluyorsa sezar
mahallenin kalecisi gelip diker degaj
olurum deşarj sizin içinizse fesat
görüyorum işleriniz kesat
babansa sana hala soruyor bak hesap
rapi beceremedin gelip benimle at
i̇nan farketmez takım burda affetmez
anıl topla dans et bakalım
rapçi drum seti tanır
kafayı sallarsa şarkıyı pause etme
dilimi bilmiyosan işin google translatee kalır
alt yapıda efe rambo
ekibimse rapçilerden oluşan bando
köküne oluruz hip hopa fan boy
kaybol kadroyla thai box var
gelirim
puff daddyim new yorkta dengeleri sarsan
dik duralım puyol gel defansa
rapim nazi kampında gibidir serseri dazlak
felsefemi çalma ters teperiz ahmak
gün sertleşirdi şartlar
i̇nanki yoktu sentetik tavra
mahallemin köpekleri geçince havlar
kara para bul bul
kara para bul bul
kara para bul bul
para kara bul bul
para para
kara para bul bul
kafamda cap elimde mic altımda siyah bi cadillac
dope şekilde girilcek tracke style teknik
def2easy mr perfect varsa çay çekirdek
kafa kafaya toslarız patlamazsa airbag
dünya dediğin bataklık pislikleri saklamakta
aradığın yetimin hakkı i̇sviçrede bankalarda
aynı bokun peşinde para şan şöhret
atma lazım olur satamadığın böbrek
ticaret bi hastalık hastalık bi ticaret
verdilerse yutmadık atmadık bilader
çocuğu bul yetiştir doldur tut eline silahı ver
paran varsa sorun kurşun biterse bi daa gel
dokunma kirlenirsin kara para
yalın ayakla koştururlar yabba dabba doo doo
sana kalan dünyanın orta parmağının ucu
ederler sakladığın umudu
kara para bul bul
kara para bul bul
kara para bul bul
para kara bul bul
para para
kara para bul bul
üzülme geçmiyor açlık alış dedirttiler
yüzün yerle buluştu an arkanda belirdiler
bizim gibiler delirdiler düşünmekten
bozuk paralarınla konuş evren içine küçülmekte
mevzu kara para fırsat kalmaz aramana
i̇lk insandan ayıktın duruma çizmiş mağaralara
fenalara girmişsen alıştın
hava veda et bye bye
zulanı tara banka çalış budur sok dediğin an
fakir tecrübenle zenginlere etmedin
biriktir faiz beklerken mutlu ol çek paranı
krediyle borçlan ev hayali kur bok yedin
ekmek evlilik suntadan mobilya
50 lira zam aldın eve gel komiklik yap
mutluluğunu demli çayla evde kutla
banka kıçına koymuş imzaladığın satırla
kara para bul bul
kara para bul bul
kara para bul bul
para kara bul bul
para para
kara para bul bul
anımsa yıllar yılı beklemedin
nefeste derdin dert eklemedin
demedin çare para meslek edinmek
varsa hayatın onu gömdün elinle
arada kaygılanıp yarını düşündükçe sustun
yalnızlaştın gün göründükçe mutsuz
sistem istedi böyleymiş dedin
düşün aklın çelimsiz yoksul
sorun bende vurun
dünya benim yurdum sınırlar
i̇nan kaçırdığın hata var
sana ezberletilen hayatı yanılman
kara para ye kan petrol
insan öldürmeyin reklam
kara para ye şaka saydın
yaşasaydın
kara para bul bul
kara para bul bul
kara para bul bul
para kara bul bul
para para
kara para bul bul
",rap
