id,baslik,sarki_sozu,sarki_turu,eski_turkce_kelime_orani,fiil_orani,sifat_orani,zarf_orani,baglac_orani,unlem_orani,soru_orani,bilinmeyen_orani
1084,Reynmen - Derdim Olsun,"derdim olsun
kadehler dolsun
ben kaybederken azrail seyre dursun
dinliyorsun görmüyorsun
kurban ederler kimlerle geziyorsun
kaç cehennem söndü içimde bilmiyorum
deli sanıyorlar
beni arıyorlar
görenler var mı
düşen bu yaprağım gençliğimin rüyasıymış
kağıda yaza yaza
hasretim beyaza
kararı vermişim ben ellerimse kanlıymış
tanrı vurdu saza
ölmeden mezara
düşen bu yaprağım gençliğimin rüyasıymış
kağıda yaza yaza
hasretim beyaza
kararı vermişim ben ellerimse kanlıymış
tanrı vurdu saza
ölmeden mezara
derdim olsun
kadehler dolsun
ben kaybederken azrail seyre dursun
dinliyorsun görmüyorsun
kurban ederler kimlerle geziyorsun
kaç cehennem söndü içimde bilmiyorum
deli sanıyorlar
beni arıyorlar
görenler var mı
düşen bu yaprağım gençliğimin rüyasıymış
kağıda yaza yaza
hasretim beyaza
kararı vermişim ben ellerimse kanlıymış
tanrı vurdu saza
ölmeden mezara
düşen bu yaprağım gençliğimin rüyasıymış
kağıda yaza yaza
hasretim beyaza
kararı vermişim ben ellerimse kanlıymış
tanrı vurdu saza
ölmeden mezara
",rap,0.02,0.32,0.06,0.04,0.0,0.0,0.01,0.0
1085,No1 - Kendine İyi Bak,"çoğunluk her şeyi kabullenendi
kim kimi yendi çok mu önemli
bana baksana benden sana ne
kendimi anlatamadım hiç kendime
i̇çim ağlar deme sakın dayan
gözlerinin rengi yıldızlardan
yanıma gel be pamuk prenses
kafamın içinde paniktir her ses
yetmedi yak bitmedi çek
i̇çin doldu dumanı dost bildiğin için
sen de mi iğrendin benim gibi
i̇şin içi çıkarsa hep canım cicim
uyan rüyadan kalk bu yataktan
uyan rüyadan kendine gel can
uyan rüyadan bir kere baksam
geri dönemem ben anlatamadım
tutamayacağım her sözü ben verdim
boş ver desende boş veremezdim
bilirim ben sonu hep aynı
ağrı ve boktan his bu her yerim
deli gibi med ve cezir bu gönlümün
hastalıklı yanı size kalsın
git yalan olunca dön gel dediler
no1 susunca başlayamazsın
şimdiki dostumun adı bir hiçlik
hep bir ağızdan kendine iyi bak
her yeri sararsa hatıralarım
her şeyi değil de kendimi yakarım
i̇nsanlar boş kutu gibi dostum
tekmeledikçe bi ses çıkarırlar
i̇çine atanlar intikam hırsı
geçmiş kırmızı kutu kola tarzı
uyan artık rüyadan dedi
kimseye anlatamadım derdimi
benim hayallerim derin bataklık
seni de çeker içine uzak dur artık
yağmurdan önce gelen hit
zaten ölmeye gelmedik mi biz
sen beni boş ver kendine iyi bak
yalan be yaşayabilirsin bensiz
",rap,0.08,0.23,0.09,0.06,0.04,0.02,0.02,0.04
1086,Pit10 - 10 10 10,"10uncu ayın 10u bugün sene 2010
i̇çimdeki ilhamı çıkaramaz turbüşon
unutmuşum hedeflerimi farkına varıp az önce kendimi kendime ettim ispiyon
çok insanın sorunu olumsuz diksiyon
arkamdan konuşanlar yüz yüze titriyor
…üçüncü bandrölü bascaktım tam bugün ama
bir yasal albümüm var kankam bile indiriyor
unkapanı kurtkapanı verin insan hakkımı
50 anlaşma lakin israf aklınız
şirketim daha fazla para istememem için gittiğimde bazı evraklara imza attırdı
bir kaç ay önce dedim güzel bir albüm yapıp o gün nete veririm ama
i̇nandığım bile bu tarihin farkında değildi
külüstür gibi gördüm beynimi unutmuşum üzüldüm
güya bugün özel olacaktı 101010
her şey sıradan yani gayet monoton
hani bugün güzel olacaktı 101010
ben unuttum her şeyi beynimde molotof
x2
aslında her şey o kadar da güzel gitmiyor
2005te başladığım üniversite hala bitmiyor
ve şimdi internette dinlerken siz pit10 pit10sa son zamanlarda dinlemekte indigo
i̇nan ki bir çoğu buzağı arıyor öküz altı
orspu çocuğu mal varlığımda gözü kaldı
bu yüzden sevmiyorum insanları ve
bu yüzden uzak duruyorum
yani değilim o kadar da gtü kalkık
bazıları yorum yapıyor beni keş sanıp
oysa henüz çocuk yaşta ben bıraktım esrarı
prim yapmak için bana yaklaşırken onca leş karı
hakkımda bilinmeyenler bilinenin 5 katı
parayla feat sakız mı alıyon bakkaldan
tayyibinde dediği gibi ananla git
makarna yiyip geldim neyse tarihi unuttum
o yüzden bu beat baya bi free
güya bugün özel olacaktı 101010
her şey sıradan yani gayet monoton
hani bugün güzel olacaktı 101010
ben unuttum her şeyi beynimde molotof
x2
samimiyet ve laubaliliği karıştıran insanları sevmiyorum
arkamdan konusup yuzume gülen insanları sevmiyorum
yuzume gülerken içten içe kıskançlık besleyen insanları sevmiyorum
serverle değil pit10la arkadaşlık kurmak isteyen insanları sevmiyorum
kompleksli insanları sevmiyorum
çaktırmadan dolandırmaya çalışan insanları sevmiyorum
stratejik oyunlar oynayan insanları sevmiyorum
i̇nsanları sevmiyorum anladın mı 

",rap,0.07,0.15,0.11,0.07,0.05,0.0,0.01,0.07
1087,Canfeza - Kadırgalar,"bahaneler buldum sana gelmek için
bazen iyi geldi seni yenmek içip
sonra vazgeçtim bu çözüm değil
çözüm olsa bile artık almıyor içim
sen zamanın ötesinde varsın
i̇ki adımlık yol kılarsın marsı
bir ihtimalin avucunda zarsın
biz dahil herkes bu ihtimale karşı
bir tek seni sevmeye üşenmedim
cennette benim payıma düşen nedir
ben bir tek sana gücenmedim
senin kadar bilmem hissini yücelmenin
çünkü bana böyle bir şiir hiç yazılmadı
kimsenin göğüs boşluğuna böyle asılmadım
bana ithafen ne bir şiir ne bir kitap basılmadı
hiçbir hatıraya kokun kadar kazınmadım
çünkü beni böyle sarhoş eden olmadı
sonu hasret olmamalıydı yolların
son dileğim mutlu görmek onları
çünkü mutlu bitmesi gerek tüm sonların
ne savaşlar verdim sana dönmek adına
bir ömürlük yol gittim bel bağlayıp atıma
ne tufanlar gördüm dev kadırgalar batıran
tayfunları böldüm öyle çıkabildim katına
sen deryanın derininde yarsın
bir uçurumsun kıyısında arşın
son beyiti can alıcı marşın
bir iyilik bir güzelliksin karanlığa karşı
zaferimin ilanısın miladım
sana geldim her birine bin adım
hatıraların da doldu miyadı
anlatırım hala her birine bin katıp
çünkü benim senden güzel anım yok
çünkü canım aşka senden güzel tanım yok
bir tek sen varsın başka güzel yanım yok
sen varsın canım ki sen yoksan bi canım yok
çünkü beni senden iyi anlayamaz onlar
sen olmayınca mutlu bitmez inan hiçbir son da
beni tatmin etmez sensizken olanlar
bir mucize bekliyorum ölmeden son anda
bana dönme beni döndürüver aslıma
atım yorgun yırtık eğer paslı na
madem ki kaderin bir kastı var
beni sen vur ödün verme hasmıma
",rap,0.1,0.16,0.13,0.04,0.05,0.0,0.0,0.02
1088,Joker - Gece Boğmadan Şehri,"bu şehrin ortasında kal unutma geçmişi
kimisi zengin kimisi fakir kimisi insan kimisi iğrenç bişi
burda biri tinerci biri dilenci biri de bencil
bugün aynı sofrada ekmek paylaşmakta yaşlı ve genci
bi gün huzur bigün keder ümit veren
hiç olmadı bana şimdi sorun tüm itlere yüzün düşer
nedense bilmem savaşmakla günüm geçer
hayat insanlar kadar değildir gönülçelen
bir gün ölünce ben gözüm görmez bırak terk et
bu şehir bir korku filmi bense kötü bir karakterde oynayan
bir suçlu gibi bazen konuştu kimi bazen gülüp geçtim
bazen peşimden koşturdu iti piçi
peki ya söyle kimin için bu benim direnişim
dünyam karanlıktı ve soğuktur hep ürperir içim
bu bazen kendim için herkes beklemekte yeni bişey ve
bende kestim bileti bak şimdi gözyaşlarını sil
güneş doğmadan hava solmadan gel en zor zamanda yine tut ellerimi
ama zorlama soru sormadan çok geç olmadan gel gece boğmadan şehri
hava solmadan yine tut ellerimi
ama zorlama soru sormadan çok geç olmadan gel gece boğmadan şehri
i̇nsan doğar yaşar ölür nefes alamaz
yüzü dağa taşa dönük niçin ağırlaşır
gönül duymaz sağırlaşır günün birinde
şırınga kolunda daha yaşım on üç
hayat serttir ve bir çek verir der bununla yaşa
tüm dertler bitecektir sanarsın ama tutup aşağı
çeker seni sorunlarının kapısını açar
üstün başın paçavra sabrın dolup taşar
zoru başar der herkes konuşur boşa
yapar okul baş ağrısı kolum faça
yolum sapa benim taşlı çamur paçam
hayallerimin içine hep olur sıçan
dediler başaramaz ve korkup kaçar
kimse anlamaz başkasında olduğundan şans
biz kaybettik yüzün mutluluk saçarken
şimdi bütün hatalarını bul 30 la çarp
güneş doğmadan hava solmadan gel en zor zamanda yine tut ellerimi
ama zorlama soru sormadan çok geç olmadan gel gece boğmadan şehri
hava solmadan yine tut ellerimi
ama zorlama soru sormadan çok geç olmadan gel gece boğmadan şehri
",rap,0.06,0.18,0.08,0.15,0.04,0.0,0.0,0.02
1089,Mavi Sakal - Biraz Şans,"şehinşah  i̇çimdeki şeytanla dans
ados  neden
patron  kendi yolumda
sansar salvo  süper
aga b  olsun
grogi  hayal
anıl i̇lter  uzatma nefesini
yener çevik  pişman olacaksın
keişan  yakalım
malt  başka hayatım yok
aspova  belki
killa hakan  bambaşka
kodes  yok
şanışer  lanet olsun
mode xl  bana bir şey olmaz
aden  benim hikayem
ais ezhel  küvet
aga b  gizli sevdam
contra  ne yapmalı
diken  yıkıla yıkıla
eypio  neredesin
sansar salvo  i̇ki kelime
anıl piyancı  kimseye etmem şikayet
grogi  bir şeyler olacak
sagopa kağıt kesiği
aklımın ucundan bile geçmedi pes etmek
aslanın ağzıyla savaşmayanlara yok ekmek
i̇stediğini almak için gerektikçe diretmek
bi dikçe yokuş çıkıp nefes neyim tüketmek
kalan son dalımı da verdim ben ateşe
yenilsen de doymadın pehlivanla güreşe
ilık esintisin kafa tutarsın güneşe
anlattıkça dinliyorum peşpeşe leş klişe
kapışılan bedava ekmek gibi hatalar
şimdi toklar ama sonra acıkacaklar
boynun kıldan ince isе yatışacaklar
boynun dikse sana savaş açacaklar
bunların hepsi karşına çıkacaklar
tam bitti dediğindе kabusu başlatacaklar
namusun bekçileri uyuya kalacaklar
en büyük namussuzlarsa onlar olacaklar
ben
benden duymuş olma
olan biten bu acil durum
benden duymuş olma
olan biten bu sinyal sinyal
benden duymuş olma
olan biten bu olan olan
benden duymuş olma
kağıt kesikleri kanatır
ben
benden duymuş olma
olan biten bu acil durum
benden duymuş olma
olan biten bu sinyal sinyal
benden duymuş olma
olan biten bu olan olan
benden duymuş olma
kağıt kesikleri kanatır
son gülen iyi güler ışıklarını karartma
ben ağır abileri hafif gördüm abartma
gerçekle mübalağayı birbirine karıştırma
terazin şaşmasın süte damla kan bulaştırma
yerine adam koyamayız sen yaşayacan
üstünde adın yazar kimliği sen taşıyacan
hep okşamıycak hayat biraz da sen acıyacan
acınacak duruma düşmemek için kimseye acımayacan
ey can kalmadı heyecan
ne farkımız kaldı ki solucanlardan
atlarken insanlar yüksek balkonlardan
karanlık manzaralar baktığım şu camlardan
hazin mektuplar yazıyorum bu zindandan
benden duymuş olma
olan biten bu acil durum
benden duymuş olma
olan biten bu sinyal sinyal
benden duymuş olma
olan biten bu olan olan
benden duymuş olma
kağıt kesikleri kanatır
ben
benden duymuş olma
olan biten bu acil durum
benden duymuş olma
olan biten bu sinyal sinyal
benden duymuş olma
olan biten bu olan olan
benden duymuş olma
kağıt kesikleri kanatır
",rap,0.1,0.18,0.18,0.03,0.01,0.0,0.0,0.07
1090,Merve Özbey - Yaramızda Kalsın,"i̇ki yalnız bir doğru edebilirdik
şimdi farklı şiirlerde yaşar gibiyiz
ben mecnun sen şirin tesadüf değil
biz bize kurulmuş tuzak gibiyiz
söz ettim mavilere içimdeki yaralardan
gökteki yağdı yine yerdekinde yakamoz var
bu bir soygundur der gibi bakan
gözlerinden artık gider gibiyim
gözlerinden artık gider gibiyim
bahsetme kimselere yaramızda kalsın
sığmadık şehirlere şiirlere taştık
unutmadım yine bi büyüklük bende kaldı
ah kadehler kırıldılar sana bu gece
bahsetme kimselere yaramızda kalsın
sığmadık şehirlere şiirlere taştık
unutmadım yine bi büyüklük bende kaldı
ah kadehler kırıldılar sana bu gece
söz ettim mavilere içimdeki yaralardan
gökteki yağdı yine yerdekinde yakamoz var
bu bir soygundur der gibi bakan
gözlerinden artık gider gibiyim
gözlerinden artık gider gibiyim
bahsetme kimselere yaramızda kalsın
sığmadık şehirlere şiirlere taştık
unutmadım yine bi büyüklük bende kaldı
ah kadehler kırıldılar sana bu gece
bahsetme kimselere yaramızda kalsın
sığmadık şehirlere şiirlere taştık
unutmadım yine bi büyüklük bende kaldı
ah kadehler kırıldılar sana bu gece
",rap,0.11,0.27,0.05,0.07,0.0,0.0,0.0,0.03
1091,Ben Fero - 3 2 1,"3 2 1 bitir işi
bu rapim iyi ve bitirici
popüleriz gibi gibi
göremedin ki biggie biggie
yalan olur birikimin
göremez işini biriki bin
dedim hiphop iyi fikir
i̇yi gelir ve biriki mil
3 2 1 bitir işi
bu rapim iyi ve bitirici
popüleriz gibi gibi
göremedin ki biggie biggie
yalan olur birikimin
göremez işini biriki bin
dedim hiphop iyi fikir
i̇yi gelir ve biriki mil
benimki bitti sen oku sen
çekinme baby gel otur gel
i̇yice kavra bele vur bel
benim işim bu ver onu ver
koşarız ileri geledur geledur
yakala treni peronu peronu
adamım adamı tanıdı
adamım hıdıdı hıdıdı fero bu yes
bro merhaba sana bu müzik kaba saba
sana der kapasana de ki sus madafaka sus sus
evimiz sapa sapa rapimiz akar akar
fifa pes afrika
shakira waka waka waka
baka baka kararır üzüm üzüme bak
ben fero büyüyor günü gününe gün
kimseye his yok körü körüne yok
hakedene respect gidek ölüme git
gidek ölüme hadi gidek ölüme woah
her zaman engel çıkar önüne boy
bak işine sen boy güven özüne öz
kulak asmadan onun bunun sözüne söz
3 2 1 bitir işi
bu rapim iyi ve bitirici
popüleriz gibi gibi
göremedin ki biggie biggie
yalan olur birikimin
göremez işini biriki bin
dedim hiphop iyi fikir
i̇yi gelir ve biriki mil
3 2 1bitir işi
bu rapim iyi ve bitirici
popüleriz gibi gibi
göremedin ki biggie biggie
yalan olur birikimin
göremez işini biriki bin
dedim hiphop iyi fikir
i̇yi gelir ve biriki mil
dangerous suları los angeles kuralı
en cılız olan ölür ben değil oralı
çok şükür rap müzik kim ise bulanı
bugün etiler yarın ankara tunalı skrt
gelmedi bunalım ben ferodur adım yes yes
dedirtmeden bırakırım kel fero bunadı kel kel
dolar gibi yükselen zenciye bi bakın
önce karakter nigga siktir et hiphopı aha
bi takımım yok homie kardeşimiz çok çok
protein dışında da açlığımız yok yok
onla bunla yarış yapıp olamazsın bok bok
sana maraton nigga benim için jog jog
3 2 1bitir işi
bu rapim iyi ve bitirici
popüleriz gibi gibi
göremedin ki biggie biggie
yalan olur birikimin
göremez işini biriki bin
dedim hiphop iyi fikir
i̇yi gelir ve biriki mil
3 2 1 bitir işi
bu rapim iyi ve bitirici
popüleriz gibi gibi
göremedin ki biggie biggie
yalan olur birikimin
göremez işini biriki bin
dedim hiphop iyi fikir
i̇yi gelir ve biriki mil
",rap,0.07,0.18,0.08,0.02,0.05,0.01,0.0,0.16
1092,Cem Adrian - Yalnızlığım,"yeni tanıştık belki de
ama kim bilir belki de hep vardın
eşlik ediyordun sessiz ve sinsice belki de
şimdi şimdi anlıyorum
kurnazca ayırdın beni belki de
lime lime savurdun sevdiklerimi belki de
yalnızlığım
yaşamak zorunda olduğum beraberliğimsin
yalnızlığım
kanımsın canımsın sen benim çaresizliğimsin
yalnızlığım
bugünüm yarınım sen benim hüzünlerimsin
yalnızlığım
tek bilebildiğim sen benim vazgeçilmezimsin
senin olmamı istedin
ama belki de bir âşık gibi
i̇natla bunca zaman kendine sakladın belki de
bir tohum gibi serpildin filizlendin
ben oldun belki de
yatağımı bile paylaşabilmek için benimle
yalnızlığım
yaşamak zorunda olduğum beraberliğimsin
yalnızlığım
kanımsın canımsın sen benim çaresizliğimsin
yalnızlığım
bugünüm yarınım sen benim hüzünlerimsin
yalnızlığım
tek bilebildiğim sen benim vazgeçilmezimsin
yalnızlığım
yaşamak zorunda olduğum beraberliğimsin
yalnızlığım
kanımsın canımsın sen benim çaresizliğimsin
yalnızlığım
bugünüm yarınım sen benim hüzünlerimsin
yalnızlığım
tek bilebildiğim sen benim vazgeçilmezimsin
",rap,0.08,0.23,0.1,0.1,0.08,0.0,0.0,0.01
1093,Norm Ender - Kaktüs,"bana boş laf anlatma kalbin taşa dönmüş senin
bak o sözler sahteymiş aşkın da yalanmış senin
i̇ki günlük dünya koş onlar kölen olsun hadi
bir günün yok kaktüssün ruhum boyun eğmez sana
sözleriyle başladı güzel bir ilişki
sonrasında değişti oldu bir çelişki
tanıdıkça anlıyorsun hep aynı yalanlar
boşa geçmiş bir zamandır hafızanda kalanlar
çarkta koşan fareleriz basit bi döngüyüz
hayallerle saçmalayan bitik bir öyküyüz
aşkımlar cicimler sahtedir hep sıfatlar
maskelerle gizlenir beton yüzlü suratlar
aslında en başında demiştim kendime
kaçınılmaz bir sondur aşk neyine ilişki
belki dedim senin için bu onlardan değildir
konu sevmek olunca kalp polyannaya meyilli
optimist duygularla çektim hep kahrını
bencilliğini takmadım hiç kandırdım yarını
tutarsız sözlerin aşk bir savaş değildir
yalanların rengi olmaz o senin pembeliğin
bana boş laf anlatma kalbin taşa dönmüş senin
bak o sözler sahteymiş aşkın da yalanmış senin
i̇ki günlük dünya koş onlar kölen olsun hadi
bir günün yok kaktüssün ruhum boyun eğmez sana
bilirsin insanoğlu aslında değişmez
hatalarla öğrenir korkularla gelişmez
ve sevmekten usansam desem de bu sondur
aşk dediğin çıkmaz sokak bitmeyen bir yoldur
bu yüzden hatalarım olduysa özeldir
beni de ben yapan budur çünkü sevmek güzeldir
hiç umrunda olmadı ki ne desem sallamıcan
ben gitmeden farkımı hiçbir zaman anlamıcan
gelinen nokta bu gönlümce yaşıcam
sen de o taş kalbini ömrünce taşıcan
hiçbir kozum kalmayınca kafanda dank edince
güvendiğin o güzelliğin de bir gün yüzünü terkedince
bakarsın aynalara kibrinle yaşarsın
yalanı çok seven dilin işini orda başarsın
bu bitmiş öykünün bendim hayalperesti
sen bir ara durakmışın hayatımın turisti
bana boş laf anlatma kalbin taşa dönmüş senin
bak o sözler sahteymiş aşkın da yalanmış senin
i̇ki günlük dünya koş onlar kölen olsun hadi
bir günün yok kaktüssün ruhum boyun eğmez sana
bana boş laf anlatma kalbin taşa dönmüş senin
bak o sözler sahteymiş aşkın da yalanmış senin
i̇ki günlük dünya koş onlar kölen olsun hadi
bir günün yok kaktüssün ruhum boyun eğmez sana
",rap,0.06,0.24,0.1,0.05,0.04,0.01,0.0,0.04
1094,Khontkar - Sar Başa,"hafızam yok bugün yerinde
başa sar tüm günü yinele
balo da karıştır yine ve düş
alışkın olmadığın bi yere wow
facia 4 lü dağıttık gene be
sınava var gibi 6 saat deme be
başarmam lazım yine de yine de
kazanmam lazım yine de yine de
hafızam yok bugün yerinde
başa sar tüm günü yinele
balo da karıştır yine ve düş
alışkın olmadığın bi yere wow
facia 4 lü dağıttık gene be
sınava var gibi 6 saat deme be
başarmam lazım yine de yine de
kazanmam lazım yine de yine de
cepte para yok klasik giriş devamında gelicek tabii ki de umudumuz çok
yıkılmaz kale gibi ailemiz dara düşene uzatır el bahanesi yok kimsenin çok
şahaneyiz kaybetsek de her şeyi kaybetmem yok
her biri farklı adamların birleşince oluyo vovovoltran hop
kürşad kafa golü atamadı ama basketbol koçu olması bence daha fena
sabri’nin rapini bi kenara bırak kalbi temiz koşar senin her dalgana
sorunları çözerim bi güzel kafamla
girme dalaşa ağzım iyi laf yapar
kalkamaz altından kimse yumruğa gerek yok serildi bile
hafızamı kaybetmem çok boktan tabi
kazanmam lazım geleceğim için
nezarete düşerim bir değil iki
dersimizi aldık mı dersin emin değilim
sevdiğim kız da benden gelirli
ama tipim yerinde tıpkı beynim gibi
cesaretim hafızamla bi anda yerine geldi
kasıla kasıla verdim
hafızam yok bugün yerinde
başa sar tüm günü yinele
balo da karıştır yine ve düş
alışkın olmadığın bi yere wow
facia 4 lü dağıttık gene be
sınava var gibi 6 saat deme be
başarmam lazım yine de yine de
kazanmam lazım yine de yine de
hafızam yok bugün yerinde
başa sar tüm günü yinele
balo da karıştır yine ve düş
alışkın olmadığın bi yere wow
facia 4 lü dağıttık gene be
sınava var gibi 6 saat deme be
başarmam lazım yine de yine de
kazanmam lazım yine de yine de
",rap,0.06,0.15,0.12,0.09,0.1,0.03,0.0,0.05
1095,Sefo - Bilmem Mi?,"her yarında
gördüğüm şeylerin her birinde
gözlerinle
sol yanımda
boşluk hissinin yanında bir sinirle
ben seninle
bilmem mi
zor günlerimde hep sen yanımda vardın oo ya
oo ah
günlerdir
hissettiğim bu şey ben yarım mı kaldım ah
oo ah
yaramadı bak beni bitiren
şeyin adı aşk yola getiren
bize niye yön veriyor şüpheler
soruyorum bunu hep sence neden
deli diyorlar hani reçetem
sırıtıyor ay bana geceden
ona el salladım pencereden
söyle tüm bunlar sence neden
bu sevdiğin bir şarkı olmalıydı sevmedin bir daha
bakınca herşey tam gibiydi ama yoktu bir vicdan
bilmem mi ya
zor günlerimde hep sen yanımda vardın yanımda vardın
oo ah
günlerdir
hissettiğim bu şey ben yarım mı kaldım
oo ah
kaydı dünya hep zamanla
tecrübeyle sabit artık
anladın sen en sonunda
farklı bir gün ey günaydın
şaka yok kalbim artık sana müsait
bakarken sana diyemedim hayır
konuşmak yok bakışalım aynı
i̇lişkim olaylı dile kolay
bilmem mi
zor günlerimde hep sen yanımda vardın yanımda vardın
oo ah
günlerdir
hissettiğim bu şey ben yarım mı kaldım yarım mı kaldım
sanki ben
bilmem mi
zor günlerimde hep sen yanımda vardın
oo ah
günlerdir
hissettiğim bu şey ben yarım mı kaldım
oo ah
",rap,0.09,0.17,0.11,0.08,0.02,0.01,0.05,0.01
1096,Anıl Piyancı - Baba Parası,"bana diyorlar o para babası
sanıyorlar hala baba parası
atıyorlar olsun bana yarasın
bana yarasın bana yarasın bana yarasın
bana diyorlar o para babası
sanıyorlar hala baba parası
atıyorlar olsun bana yarasın
bana yarasın bana yarasın bana yarasın
nasıl mı başladım bir tavan arasıydı
kiralık bir kovanda yaban arısıydık
bizim için bu şehir savaş adasıydı
her şeyin başladığı yer tavan arasıydı
sanma ki villalarda büyüdük biz hava atıyoz
gerçekler tam tersi bak sokak sokak para arıyoz
ne zor günler geçirmişsin lan anıl sana acıyom
her şeyin bedelini ödemişsin rocky acı yok
bana diyorlar o para babası
sanıyorlar hala baba parası
atıyorlar olsun bana yarasın
bana yarasın bana yarasın bana yarasın
bana diyorlar o para babası
sanıyorlar hala baba parası
atıyorlar olsun bana yarasın
bana yarasın bana yarasın bana yarasın
sana yaramaz koçum bırak bari bana yarasın
yarışa girme mercedesimle len at arabası
bak gökyüzünde uçan benim hala karada mısın
burası arap adası sanma ki kanadadasın
takmışlar çakma rolexi
sanal alemde gördüğün rapçilerin hepsi bot mc
mesajı gördüm kızım tamam dedim harbi roketsin
ama bilirim cevap versem anıl yanlıyo dersin
sanma ki villalarda büyüdük biz hava atıyoz
gerçekler tam tersi bak sokak sokak para arıyoz
ne zor günler geçirmişsin lan anıl sana acıyom
herşeyin bedelini ödemişsin rocky acı yok
bana diyorlar o para babası
sanıyorlar hala baba parası
atıyorlar olsun bana yarasın
bana yarasın bana yarasın bana yarasın
bana diyorlar o para babası
sanıyorlar hala baba parası
atıyorlar olsun bana yarasın
bana yarasın bana yarasın bana yarasın
",rap,0.03,0.3,0.04,0.04,0.02,0.0,0.01,0.03
1097,Ezhel - Alo,"yine günlerden bir gün ben kaldım harman
boş kafayı kaldıramam lazım sarmam
çağırsam kankaları lazım yardımlaşmam
koal koal koal koal koal koal
ararım telefondan ama hep çaldı meşgul
kankalarım kovalıyor gayri meşru
kankalar kova alıyor hayli mesut
kankalar sanıyor ezhel hayli meşhur
koal koal koal koal koal koal
zannedersin öyle çözmek daha kolay
ararsın da açmazlar lan hâlâ yoklar
derken teli açtılar dedim ki ortak
alo alo alo alo alo alo
çözmesek mi dedim kardo elim mahkum
yok la yok la yok dedi param dedi herkes paso
suratıma kapadılar telefonu
alo alo alo alo alo alo
alo alo alo alo alo alo
alo alo alo alo alo alo
çalar 90bpm  zibidi parro
yürüyorum mahalleye her yer varoş
mahallenin girişinde birkaç babo
alayında façalar alayı maço
islık çaldı bebeler dediler gel la
kaçlık istiyon dedi dedim 50lik ver la
tam o an sirenler çaldı birden anons
dedim hassiktirin gidin la polis mi lan o
öyle hızla koştum resmen koştum maratonu
cepler para dolu kokokoş tutarak donu
her yerini aradım şu pantolonun
düşürmüşüm fişekleri durum malum
hay amın bu işin ara çorbacıyı
az verse de çözülür şu olayımız
aldım diğer gardaşımın onayını
dedim abiye güzellik sorayım mı
teli açtı alo alo alo alo alo alo
müsaitsen görüşek mi dedim cano
hemen gelcem dedi ya beş dakka ya on
bir yıl oldu gelmedi aradım paso
alo alo alo alo alo alo
alo alo alo alo alo alo
alo alo alo alo alo alo
alo alo alo alo alo alo
",rap,0.05,0.19,0.07,0.04,0.02,0.22,0.02,0.09
1098,Gazapizm - Dünya Bu,"ne yaparsan yap sen dünya bu
bi gözün gök bi gözün toprağa dost
nereye kaçsan nereye saklansan boş
ne yaparsan yap sen dünya bu
bi ayağın çukurda carpe diem ne
hasiktir be
zaman kanımızı emer
ne ki başımıza gelen
panik yok moruk gel yaşımıza güven
hasiktir be
zaman kafamızı deler
yüzün gözün nerede bilmem
geçmiş pencerede ömrün
gelmiş hep geriden günler
paralelde yine yeniden
doğmak yok bu nasıl bi talep
toprak son durağınız hâlen
yatsan da kulağına sen
hasiktir be
ne yaparsan yap sen dünya bu
bi gözün gök bi gözün toprağa dost
nereye kaçsan nereye saklansan boş
ne yaparsan yap sen dünya bu
ne yaparsan yap sen dünya bu
bi gözün gök bi gözün toprağa dost
nereye kaçsan nereye saklansan boş
ne yaparsan yap sen dünya bu
ne yaparsan yap sen dünya bu
bağırsan duymaz kimsen seni
oyun yok artık küsmek niçin
kenarda kalmış günler gibi gibi gibi
bir de kimileri birileri ölü ve de dirileri görüyorlar
perileri yeri meri gayb
güneşiniz doğmaz yüreğiniz mat
dümenine ortak güvenine kan var
bi cebine bypass bi cebe demans daha niceleri var
reçetene vasiyet ecele kucak aç
ya da kaç
seni bulamaz seni göremez sanıyor musun
öyle değil ama yine bak
seni duyamaz seni sezemez
biliyor musun öyle değil ama yine bak
geri gelinir yine dirilir içimizde bu düşlerin yenileri vah
kimi delirir kimi sevinir kimi debelenir ama yine çare bulamaz
ölüm orada ölüm burada ediyor yine gözünüze baka baka dans
ölüm şurada ölüm duramaz geliyor yine peşinize koşa koşa kaç
ne yaparsan yap sen dünya bu
bi gözün gök bi gözün toprağa dost
nereye kaçsan nereye saklansan boş
ne yaparsan yap sen dünya bu
ne yaparsan yap sen dünya bu
bi gözün gök bi gözün toprağa dost
nereye kaçsan nereye saklansan boş
ne yaparsan yap sen dünya bu
ne yaparsan yap sen dünya bu
ne yaparsan yap sen dünya bu
",rap,0.05,0.22,0.09,0.07,0.04,0.01,0.01,0.06
